date,trial_#,day_or_night,hatch_group,trial_options,x_axis,y_axis,include,total_distance_recorded,notes2
2/28/2018,134,D,2,rvy,r,y,1,,
2/28/2018,135,D,2,rvy,r,y,1,,
2/28/2018,136,D,2,rvy,r,y,1,,
3/1/2018,137,D,2,dvr,r,d,1,,
3/1/2018,138,D,2,dvr,r,d,1,,
3/1/2018,139,D,2,dvr,r,d,1,zig zag,zig zag
3/1/2018,140,D,2,dvr,r,d,1,,
3/1/2018,141,D,2,dvr,r,d,1,,
3/1/2018,142,D,2,dvr,r,d,1,,
3/1/2018,143,D,2,dvr,d,r,1,,
3/1/2018,144,D,2,dvr,d,r,0,too short,too short
3/1/2018,145,D,2,dvr,d,r,0,too short,too short
3/1/2018,146,D,2,dvr,d,r,0,too short,too short
3/1/2018,147,D,2,dvr,d,r,0,too short,too short
3/1/2018,148,D,2,dvr,d,r,0,too short,too short
3/1/2018,149,D,2,dvy,y,d,1,,
3/1/2018,150,D,2,dvy,y,d,1,,
3/1/2018,151,D,2,dvy,y,d,1,,
3/1/2018,152,D,2,dvy,y,d,1,,
3/1/2018,153,D,2,dvy,y,d,1,,
3/1/2018,154,D,2,dvy,d,y,1,,
3/1/2018,155,D,2,dvy,d,y,1,,
3/1/2018,156,D,2,dvy,d,y,1,,
3/1/2018,157,D,2,dvy,d,y,0,too short,too short
3/1/2018,158,D,2,dvy,d,y,1,,
3/1/2018,159,N,2,dvy,d,y,1,,
3/1/2018,160,N,2,dvy,d,y,1,,
3/1/2018,161,N,2,dvy,d,y,1,"camera messed up, can probably fix in R","camera messed up, can probably fix in R"
3/2/2018,162,N,2,dvy,d,y,1,,
3/2/2018,163,N,2,dvy,d,y,1,,
3/2/2018,164,N,2,dvy,d,y,1,,
3/2/2018,165,N,2,dvy,y,d,1,,
3/2/2018,166,N,2,dvy,y,d,1,,
3/2/2018,167,N,2,dvy,y,d,1,,
3/2/2018,168,N,2,dvy,y,d,1,too short 9.0,too short 9.0
3/2/2018,169,N,2,dvy,y,d,1,,
3/2/2018,170,N,2,dvy,y,d,1,,
3/2/2018,171,D,2,dvy,d,y,0,too short 5.1,too short 5.1
3/2/2018,172,D,2,dvy,d,y,0,too short 5.1,too short 5.1
3/2/2018,173,D,2,dvy,d,y,1,,
3/2/2018,174,D,2,dvy,d,y,1,,
3/2/2018,175,N,2,dvb,b,d,1,,
3/2/2018,176,N,2,dvb,b,d,1,,
3/2/2018,177,N,2,dvb,b,d,1,,
3/2/2018,178,N,2,dvb,b,d,1,,
3/2/2018,179,N,2,dvb,b,d,1,,
3/5/2018,180,D,2,dvb,b,d,1,,
3/5/2018,181,D,2,dvb,b,d,1,,
3/5/2018,182,D,2,dvb,b,d,1,,
3/5/2018,183,D,2,dvb,b,d,1,,
3/5/2018,184,D,2,dvb,b,d,1,,
3/5/2018,185,D,2,dvb,d,b,0,too short 2.5,too short 2.5
3/5/2018,186,D,2,dvb,d,b,1,,
3/5/2018,187,D,2,dvb,d,b,1,,
